key,artist,song,duration_ms,length,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,Cleaned genre,Location
Attribute,Audioslave,Like a Stone,293960,4.54,FALSE,2002,75,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,"rock, metal",rock,US
Attribute,Sean Paul,Like Glue,232506,3.53,FALSE,2002,61,0.757,0.78,1,-5.038,1,0.319,0.0811,0,0.113,0.59,97.917,"hip hop, pop",hip hop,JM
Attribute,Dido,White Flag,240040,4,FALSE,2003,44,0.512,0.525,5,-6.823,1,0.0401,0.327,3.30E-06,0.081,0.294,169.951,pop,pop,GB
Attribute,Daniel Bedingfield,If You're Not The One,257026,4.17,FALSE,2002,58,0.688,0.538,10,-7.608,1,0.0292,0.504,0,0.111,0.27,119.998,pop,pop,GB
Attribute,The Strokes,Reptilia,219826,3.4,FALSE,2003,74,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,rock,rock,US
Attribute,Avril Lavigne,I'm with You,223066,3.43,FALSE,2002,70,0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,pop,pop,CA
Attribute,Usher,Yeah! (feat. Lil Jon & Ludacris),250373,4.1,FALSE,2004,81,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,"hip hop, pop, R&B",hip hop,US
Attribute,Maroon 5,This Love,206200,3.26,FALSE,2002,77,0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,pop,pop,US
Attribute,Britney Spears,Toxic,198800,3.19,FALSE,2003,81,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,pop,pop,US
Attribute,Hoobastank,The Reason,232800,3.53,FALSE,2003,79,0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,"pop, rock, metal",pop,US
Attribute,Anastacia,Left Outside Alone,257426,4.17,FALSE,2004,65,0.663,0.746,2,-3.567,0,0.0321,0.0697,0,0.0929,0.325,102.847,pop,pop,US
Attribute,Anastacia,Sick and Tired,212266,3.32,FALSE,1999,56,0.598,0.868,0,-4.552,1,0.0373,0.00908,0,0.279,0.47,99.848,pop,pop,US
Attribute,Ashanti,Only U - No Intro,186306,3.06,FALSE,2004,56,0.601,0.621,6,-5.576,0,0.0434,0.0374,1.75E-06,0.188,0.278,94.547,"hip hop, pop, R&B",hip hop,US
Attribute,Linkin Park,Numb,185586,3.06,FALSE,2003,81,0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,"rock, metal",rock,US
Attribute,Jay Sean,Eyes On You - Radio Mix,190493,3.1,FALSE,2004,42,0.802,0.672,7,-4.971,1,0.0847,0.0775,0,0.136,0.619,96.525,"hip hop, pop, R&B",hip hop,GB
Attribute,Britney Spears,My Prerogative,213893,3.34,FALSE,2004,53,0.749,0.938,10,-4.423,0,0.118,0.0127,1.96E-06,0.103,0.619,111.014,pop,pop,US
Attribute,Nina Sky,Move Ya Body,232000,3.52,FALSE,2004,67,0.87,0.712,11,-6.313,0,0.0432,0.0202,0.000331,0.0576,0.877,121.057,"pop, R&B",pop,US
Attribute,Juanes,La Camisa Negra,216706,3.37,FALSE,2004,70,0.751,0.731,6,-4.419,0,0.0308,0.0838,0,0.0556,0.973,97.007,"pop, latin",pop,CO
Attribute,Avril Lavigne,Nobody's Home,212413,3.32,FALSE,2004,61,0.348,0.907,5,-3.66,0,0.0497,0.000516,0,0.161,0.177,185.406,pop,pop,CA
Attribute,Robbie Williams,Radio,233600,3.54,FALSE,2004,33,0.607,0.874,5,-5.409,0,0.0349,0.00331,0.0494,0.26,0.846,130.015,"pop, rock",pop,GB
Attribute,Linkin Park,Breaking the Habit,196906,3.17,FALSE,2003,68,0.579,0.849,4,-5.218,0,0.0303,0.108,0,0.0909,0.581,100.021,"rock, metal",rock,US
Attribute,Sean Paul,I'm Still in Love with You (feat. Sasha),273360,4.33,FALSE,2002,68,0.765,0.666,7,-5.384,1,0.172,0.102,0,0.116,0.756,87.002,"hip hop, pop",hip hop,JM
Attribute,Twista,Overnight Celebrity,233360,3.53,TRUE,2004,66,0.828,0.792,10,-5.435,0,0.179,0.182,0,0.281,0.777,134.199,"hip hop, pop, R&B",hip hop,US
Attribute,N.E.R.D,She Wants To Move,213786,3.34,FALSE,2004,57,0.766,0.851,5,-4.831,1,0.0786,0.00402,0.000744,0.256,0.8,115.012,hip hop,hip hop,FI
Attribute,Britney Spears,Everytime,230306,3.5,FALSE,2003,63,0.398,0.284,3,-12.852,1,0.0337,0.966,8.57E-05,0.116,0.114,109.599,pop,pop,US
Attribute,Franz Ferdinand,Take Me Out,237026,3.57,FALSE,2004,77,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,rock,rock,GB
Attribute,Green Day,American Idiot,176346,2.56,TRUE,2004,77,0.38,0.988,1,-2.042,1,0.0639,2.64E-05,7.86E-05,0.368,0.769,186.113,rock,rock,US
